day,pSOL,nSOL,value of SOL in $,daily mint of fSOL,daily burn of fSOL,daily mint of xSOL,daily burn of xSOL,pX,nX,Marketcap xSOL,pF,nF,Marketcap fSOL,Total mcap,fSOL adjustment,Collaterization ratio
130,41.1,51918.20785240116,2133838.3427336877,38304,0,16463,0,2.0191776207741503,705997.0,1425533.3427336877,1,708305.0,708305.0,2133838.3427336877,0.0,3.0780440948041616
131,44.821,51918.79398540787,2327052.265219966,0,5919,2593,0,2.2928156835687297,708590.0,1624666.2652199662,1,702386.0,702386.0,2327052.265219966,0.0,3.285344581998535
132,44.043,52031.17788121594,2291609.1674223933,11485,0,0,2923,2.2358111792423245,705667.0,1577738.1674223933,1,713871.0,713871.0,2291609.1674223933,0.0,3.2555595406219924
133,53.714,51935.29791236427,2789652.5920647345,23056,0,0,9565,2.948886215044253,696102.0,2052725.5920647345,1,736927.0,736927.0,2789652.5920647345,0.0,3.914996811344953
134,62.137,52748.57638877725,3277638.2910694517,92307,0,0,11677,3.5773156899140917,684425.0,2448404.291069452,1,829234.0,829234.0,3277638.291069452,0.0,4.37913606962505
135,64.0,50959.414013448004,3261402.4968606723,0,10165,0,28042,3.7208969410552566,656383.0,2442333.4968606723,1,819069.0,819069.0,3261402.4968606723,0.0,4.071117306914266
136,72.578,50086.60879687992,3635185.893259951,166341,0,0,52358,4.386864605372214,604025.0,2649775.8932599514,1,985410.0,985410.0,3635185.8932599514,0.0,4.515532086146624
137,72.7,48458.334710468116,3522920.9334510323,0,3500,0,26126,4.396981018224693,577899.0,2541010.933451032,1,981910.0,981910.0,3522920.933451032,0.0,3.695209567117413
138,78.714,46071.12763332065,3626442.7405292015,0,4604,0,37399,4.901270565271418,540500.0,2649136.7405292015,1,977306.0,977306.0,3626442.7405292015,0.0,3.8846221735187414
139,73.907,41511.73088713375,3068007.494675394,0,19182,0,70753,4.491531600362311,469747.0,2109883.4946753946,1,958124.0,958124.0,3068007.4946753946,0.0,3.484045764577143
140,72.846,41022.39472828098,2988317.3663763567,38166,0,0,16784,4.397770604610876,452963.0,1992027.3663763565,1,996290.0,996290.0,2988317.366376356,0.0,3.1561296327032258
141,75.553,39132.90603442661,2956608.449619034,0,47739,0,20465,4.642928868154382,432498.0,2008057.4496190338,1,948551.0,948551.0,2956608.449619034,0.0,3.1109064518421476
142,70.671,36862.71201501952,2605124.720813445,0,28515,0,31401,4.201200011003435,401097.0,1685088.7208134446,1,920036.0,920036.0,2605124.720813445,0.0,2.9155644792519992
143,72.056,37102.884967756065,2673485.4792366307,0,7795,5799,0,4.328488063870451,406896.0,1761244.4792366312,1,912241.0,912241.0,2673485.479236631,0.0,2.887038742999455
144,75.169,37878.2716571267,2847271.8021945567,33466,0,5381,0,4.612347528953972,412277.0,1901564.8021945567,1,945707.0,945707.0,2847271.8021945567,0.0,3.0572916149803127
